month,source,compound_mean,pos_mean,neg_mean,neu_mean,post_count
2015-09-01,comments,0.7184,0.5,0.0,0.5,1
2015-09-01,posts,0.0,0.0,0.0,1.0,1
2015-10-01,posts,0.0,0.0,0.0,1.0,1
2015-11-01,posts,0.9732,0.173,0.0,0.827,1
2016-01-01,posts,0.5719,0.316,0.0,0.684,1
2016-02-01,posts,0.9778,0.182,0.0,0.818,1
2016-03-01,posts,0.23445,0.02175,0.00225,0.976,4
2016-04-01,posts,0.3839,0.09675,0.06025,0.843,4
2016-05-01,comments,0.319225,0.11875,0.18575,0.6955,4
2016-05-01,posts,0.21904444444444446,0.059777777777777784,0.04666666666666667,0.8935555555555555,9
2016-06-01,posts,-0.1045909090909091,0.05272727272727273,0.08372727272727273,0.8634545454545454,11
2016-07-01,posts,0.6515166666666666,0.12766666666666668,0.010166666666666666,0.8621666666666666,6
2016-08-01,comments,0.34,0.169,0.081,0.75,1
2016-08-01,posts,0.20627500000000004,0.08349999999999999,0.053875000000000006,0.8625,8
2016-09-01,comments,0.10646666666666667,0.09333333333333332,0.08166666666666667,0.8250000000000001,3
2016-09-01,posts,0.2855333333333333,0.048666666666666664,0.049,0.9021111111111111,9
2016-10-01,posts,0.4613833333333333,0.19933333333333333,0.041166666666666664,0.7595000000000001,6
2016-11-01,comments,-0.4774,0.016,0.055,0.929,1
2016-11-01,posts,0.5690999999999999,0.06575,0.01025,0.9239999999999999,4
2016-12-01,comments,0.6160666666666667,0.1456666666666667,0.044000000000000004,0.8106666666666666,3
2016-12-01,posts,0.73914,0.1306,0.0073999999999999995,0.8618,5
2017-01-01,comments,0.0,0.0,0.0,1.0,1
2017-01-01,posts,-0.03600000000000002,0.04428571428571428,0.0752142857142857,0.8803571428571428,14
2017-02-01,comments,-0.02,0.12350000000000001,0.04650000000000001,0.83,6
2017-02-01,posts,-0.011149999999999985,0.10939999999999998,0.0901,0.8004999999999999,10
2017-03-01,comments,0.14206249999999995,0.09887499999999999,0.062625,0.8384999999999999,8
2017-03-01,posts,-0.06902413793103448,0.04093103448275862,0.08613793103448276,0.8728965517241378,29
2017-04-01,comments,0.2341764705882353,0.08994117647058823,0.04564705882352942,0.8643529411764705,17
2017-04-01,posts,-0.022300000000000007,0.07237931034482757,0.10462068965517242,0.8230689655172413,29
2017-05-01,comments,0.19462000000000002,0.11500000000000002,0.06760000000000002,0.8175000000000001,10
2017-05-01,posts,-0.04053043478260869,0.08039130434782607,0.1078695652173913,0.8116956521739133,23
2017-06-01,comments,0.26576,0.16839999999999997,0.0472,0.7844,5
2017-06-01,posts,0.08061111111111112,0.03927777777777777,0.048444444444444436,0.9122777777777777,18
2017-07-01,comments,0.1858,0.13966666666666666,0.0,0.8603333333333333,3
2017-07-01,posts,0.025475,0.03925,0.0710625,0.8896875,16
2017-08-01,comments,0.4932,0.1442,0.0166,0.8392,5
2017-08-01,posts,0.107648,0.08227999999999998,0.10123999999999998,0.81652,25
2017-09-01,comments,-0.3252,0.0,0.28,0.72,1
2017-09-01,posts,-0.09855294117647061,0.04229411764705883,0.05335294117647059,0.9042941176470588,17
2017-10-01,comments,0.37355,0.15366666666666665,0.0,0.8463333333333334,6
2017-10-01,posts,0.24055833333333335,0.050416666666666665,0.0014166666666666668,0.9482499999999999,12
2017-11-01,comments,-0.12028333333333334,0.020666666666666667,0.04833333333333333,0.931,6
2017-11-01,posts,0.2042086956521739,0.08199999999999999,0.02647826086956522,0.8914782608695653,23
2017-12-01,comments,0.056833333333333326,0.08233333333333333,0.07533333333333332,0.8423333333333334,3
2017-12-01,posts,0.07665862068965519,0.05503448275862069,0.05351724137931034,0.8914137931034483,29
2018-01-01,comments,-0.05574705882352941,0.11817647058823529,0.06370588235294117,0.8181764705882353,17
2018-01-01,posts,0.17348076923076924,0.10457692307692307,0.042115384615384624,0.8533461538461538,26
2018-02-01,comments,0.22465,0.11758333333333333,0.056416666666666664,0.826,12
2018-02-01,posts,0.2504272727272727,0.10736363636363637,0.04436363636363636,0.848318181818182,22
2018-03-01,comments,0.17257777777777777,0.10733333333333334,0.05000000000000001,0.8427777777777776,9
